,empo_1,empo_2,empo_3
236,Free-living,Non-saline,Soil (non-saline)
237,Host-associated,Animal,Animal surface
238,Host-associated,Animal,Animal secretion
239,Free-living,Non-saline,Water (non-saline)
240,Host-associated,Animal,Animal distal gut
241,Free-living,Non-saline,Soil (non-saline)
242,Host-associated,Animal,Animal distal gut
243,Free-living,Non-saline,Soil (non-saline)
244,Free-living,Non-saline,Water (non-saline)
245,Host-associated,Plant,Plant surface
246,Host-associated,Animal,Animal distal gut
247,Host-associated,Animal,Animal distal gut
248,Host-associated,Animal,Animal distal gut
249,Free-living,Non-saline,Water (non-saline)
250,Host-associated,Plant,Plant rhizosphere
251,Host-associated,Animal,Animal distal gut
252,Free-living,Non-saline,Water (non-saline)
253,Free-living,Non-saline,Soil (non-saline)
254,Free-living,Non-saline,Water (non-saline)
255,Host-associated,Plant,Plant surface
256,Free-living,Non-saline,Water (non-saline)
257,Host-associated,Animal,Animal distal gut
258,Free-living,Non-saline,Surface (non-saline)
259,Host-associated,Animal,Animal distal gut
260,Free-living,Non-saline,Soil (non-saline)
261,Free-living,Non-saline,Water (non-saline)
262,Host-associated,Animal,Animal distal gut
263,Host-associated,Plant,Plant surface
264,Free-living,Non-saline,Water (non-saline)
265,Host-associated,Animal,Animal distal gut
266,Free-living,Non-saline,Surface (non-saline)
267,Free-living,Non-saline,Water (non-saline)
268,Free-living,Non-saline,Water (non-saline)
269,Host-associated,Plant,Plant surface
270,Free-living,Saline,Water (saline)
271,Host-associated,Animal,Animal distal gut
272,Free-living,Non-saline,Soil (non-saline)
273,Free-living,Saline,Water (saline)
274,Free-living,Non-saline,Water (non-saline)
275,Free-living,Non-saline,Surface (non-saline)
276,Host-associated,Plant,Plant surface
277,Host-associated,Animal,Animal distal gut
278,Free-living,Non-saline,Water (non-saline)
279,Free-living,Non-saline,Sediment (non-saline)
280,Host-associated,Plant,Plant surface
281,Free-living,Non-saline,Water (non-saline)
282,Host-associated,Animal,Animal distal gut
283,Host-associated,Animal,Animal surface
284,Host-associated,Plant,Plant surface
285,Host-associated,Animal,Animal distal gut
286,Free-living,Non-saline,Soil (non-saline)
287,Host-associated,Animal,Animal surface
288,Free-living,Non-saline,Soil (non-saline)
289,Free-living,Non-saline,Surface (non-saline)
290,Free-living,Non-saline,Soil (non-saline)
291,Free-living,Non-saline,Soil (non-saline)
292,Host-associated,Animal,Animal corpus
293,Host-associated,Plant,Plant rhizosphere
294,Free-living,Non-saline,Soil (non-saline)
295,Free-living,Non-saline,Soil (non-saline)
296,Host-associated,Animal,Animal proximal gut
297,Host-associated,Animal,Animal surface
298,Free-living,Non-saline,Surface (non-saline)
299,Host-associated,Animal,Animal surface
300,Free-living,Non-saline,Water (non-saline)
301,Host-associated,Animal,Animal distal gut
302,Free-living,Non-saline,Soil (non-saline)
303,Free-living,Non-saline,Surface (non-saline)
304,Free-living,Non-saline,Water (non-saline)
305,Host-associated,Animal,Animal distal gut
306,Free-living,Non-saline,Soil (non-saline)
307,Free-living,Non-saline,Soil (non-saline)
308,Host-associated,Animal,Animal surface
309,Host-associated,Animal,Animal surface
310,Host-associated,Animal,Animal distal gut
311,Free-living,Non-saline,Surface (non-saline)
312,Host-associated,Animal,Animal surface
313,Host-associated,Animal,Animal distal gut
314,Host-associated,Plant,Plant surface
315,Free-living,Non-saline,Water (non-saline)
316,Free-living,Non-saline,Soil (non-saline)
317,Host-associated,Animal,Animal distal gut
318,Free-living,Non-saline,Soil (non-saline)
319,Host-associated,Animal,Animal surface
320,Free-living,Non-saline,Soil (non-saline)
321,Free-living,Non-saline,Water (non-saline)
322,Free-living,Non-saline,Water (non-saline)
323,Host-associated,Plant,Plant surface
324,Host-associated,Animal,Animal distal gut
325,Host-associated,Animal,Animal surface
326,Free-living,Non-saline,Water (non-saline)
327,Free-living,Non-saline,Water (non-saline)
328,Free-living,Non-saline,Surface (non-saline)
329,Host-associated,Animal,Animal surface
330,Free-living,Non-saline,Soil (non-saline)
331,Free-living,Non-saline,Water (non-saline)
332,Free-living,Non-saline,Soil (non-saline)
333,Free-living,Non-saline,Water (non-saline)
334,Host-associated,Animal,Animal corpus
335,Free-living,Non-saline,Water (non-saline)
336,Host-associated,Plant,Plant rhizosphere
337,Host-associated,Animal,Animal distal gut
338,Host-associated,Animal,Animal distal gut
339,Free-living,Non-saline,Soil (non-saline)
340,Host-associated,Animal,Animal surface
341,Free-living,Non-saline,Soil (non-saline)
342,Free-living,Non-saline,Sediment (non-saline)
343,Free-living,Non-saline,Water (non-saline)
344,Free-living,Saline,Sediment (saline)
345,Free-living,Non-saline,Sediment (non-saline)
346,Host-associated,Plant,Plant surface
347,Host-associated,Animal,Animal surface
348,Free-living,Saline,Surface (saline)
349,Free-living,Non-saline,Water (non-saline)
350,Free-living,Non-saline,Soil (non-saline)
351,Host-associated,Animal,Animal surface
352,Free-living,Non-saline,Soil (non-saline)
353,Free-living,Non-saline,Water (non-saline)
354,Free-living,Non-saline,Soil (non-saline)
355,Host-associated,Animal,Animal distal gut
356,Host-associated,Animal,Animal distal gut
357,Host-associated,Animal,Animal distal gut
358,Free-living,Non-saline,Soil (non-saline)
359,Free-living,Non-saline,Sediment (non-saline)
360,Free-living,Non-saline,Water (non-saline)
361,Free-living,Non-saline,Soil (non-saline)
362,Free-living,Non-saline,Soil (non-saline)
363,Host-associated,Animal,Animal distal gut
364,Free-living,Non-saline,Water (non-saline)
365,Host-associated,Animal,Animal distal gut
366,Host-associated,Plant,Plant rhizosphere
367,Host-associated,Plant,Plant surface
368,Free-living,Non-saline,Soil (non-saline)
369,Host-associated,Plant,Plant rhizosphere
370,Host-associated,Animal,Animal distal gut
371,Host-associated,Animal,Animal secretion
372,Free-living,Saline,Sediment (saline)
373,Free-living,Non-saline,Surface (non-saline)
374,Host-associated,Animal,Animal secretion
375,Free-living,Non-saline,Water (non-saline)
376,Free-living,Non-saline,Water (non-saline)
377,Host-associated,Plant,Plant surface
378,Host-associated,Animal,Animal distal gut
379,Host-associated,Animal,Animal surface
380,Host-associated,Animal,Animal distal gut
381,Free-living,Non-saline,Soil (non-saline)
382,Free-living,Non-saline,Water (non-saline)
383,Free-living,Non-saline,Water (non-saline)
384,Host-associated,Animal,Animal surface
385,Host-associated,Plant,Plant surface
386,Host-associated,Animal,Animal surface
387,Host-associated,Animal,Animal surface
388,Host-associated,Animal,Animal distal gut
389,Free-living,Non-saline,Soil (non-saline)
390,Free-living,Non-saline,Soil (non-saline)
391,Free-living,Non-saline,Surface (non-saline)
392,Free-living,Non-saline,Surface (non-saline)
393,Free-living,Saline,Water (saline)
394,Free-living,Non-saline,Soil (non-saline)
395,Host-associated,Animal,Animal surface
396,Host-associated,Animal,Animal distal gut
397,Free-living,Non-saline,Water (non-saline)
398,Free-living,Non-saline,Soil (non-saline)
399,Free-living,Non-saline,Water (non-saline)
400,Free-living,Non-saline,Water (non-saline)
401,Free-living,Non-saline,Sediment (non-saline)
402,Free-living,Non-saline,Water (non-saline)
403,Free-living,Non-saline,Water (non-saline)
404,Free-living,Non-saline,Soil (non-saline)
405,Host-associated,Animal,Animal distal gut
406,Host-associated,Animal,Animal distal gut
407,Host-associated,Animal,Animal corpus
408,Free-living,Non-saline,Water (non-saline)
409,Free-living,Non-saline,Water (non-saline)
410,Host-associated,Plant,Plant corpus
411,Free-living,Non-saline,Soil (non-saline)
412,Free-living,Non-saline,Water (non-saline)
413,Host-associated,Animal,Animal distal gut
414,Free-living,Non-saline,Soil (non-saline)
415,Free-living,Non-saline,Water (non-saline)
416,Host-associated,Plant,Plant rhizosphere
417,Host-associated,Plant,Plant surface
418,Free-living,Non-saline,Sediment (non-saline)
419,Free-living,Non-saline,Soil (non-saline)
420,Free-living,Saline,Surface (saline)
421,Free-living,Non-saline,Water (non-saline)
422,Host-associated,Animal,Animal surface
423,Free-living,Non-saline,Soil (non-saline)
424,Host-associated,Animal,Animal distal gut
425,Host-associated,Plant,Plant surface
426,Free-living,Non-saline,Surface (non-saline)
427,Host-associated,Animal,Animal surface
428,Free-living,Non-saline,Soil (non-saline)
429,Host-associated,Plant,Plant surface
430,Host-associated,Animal,Animal surface
431,Free-living,Non-saline,Surface (non-saline)
432,Free-living,Non-saline,Water (non-saline)
433,Host-associated,Animal,Animal distal gut
434,Host-associated,Plant,Plant surface
435,Free-living,Non-saline,Soil (non-saline)
436,Host-associated,Animal,Animal surface
437,Host-associated,Animal,Animal secretion
438,Host-associated,Plant,Plant surface
439,Host-associated,Animal,Animal distal gut
440,Host-associated,Animal,Animal secretion
441,Free-living,Non-saline,Soil (non-saline)
442,Host-associated,Animal,Animal surface
443,Free-living,Non-saline,Water (non-saline)
444,Free-living,Non-saline,Water (non-saline)
445,Host-associated,Plant,Plant corpus
446,Free-living,Non-saline,Soil (non-saline)
447,Host-associated,Animal,Animal proximal gut
448,Free-living,Non-saline,Water (non-saline)
449,Free-living,Non-saline,Water (non-saline)
450,Host-associated,Animal,Animal distal gut
451,Host-associated,Animal,Animal distal gut
452,Host-associated,Animal,Animal distal gut
453,Free-living,Non-saline,Water (non-saline)
454,Free-living,Non-saline,Sediment (non-saline)
455,Host-associated,Animal,Animal corpus
456,Host-associated,Animal,Animal surface
457,Free-living,Non-saline,Soil (non-saline)
458,Host-associated,Plant,Plant surface
459,Host-associated,Animal,Animal distal gut
460,Host-associated,Animal,Animal secretion
461,Free-living,Non-saline,Water (non-saline)
462,Host-associated,Animal,Animal surface
463,Host-associated,Animal,Animal distal gut
464,Free-living,Non-saline,Sediment (non-saline)
465,Host-associated,Animal,Animal distal gut
466,Host-associated,Animal,Animal surface
467,Free-living,Non-saline,Water (non-saline)
468,Host-associated,Animal,Animal distal gut
469,Free-living,Non-saline,Soil (non-saline)
470,Host-associated,Animal,Animal secretion
471,Free-living,Non-saline,Soil (non-saline)
472,Free-living,Non-saline,Soil (non-saline)
473,Host-associated,Animal,Animal corpus
474,Host-associated,Animal,Animal distal gut
475,Free-living,Non-saline,Soil (non-saline)
476,Free-living,Non-saline,Soil (non-saline)
477,Free-living,Non-saline,Water (non-saline)
478,Free-living,Non-saline,Water (non-saline)
479,Free-living,Non-saline,Water (non-saline)
480,Host-associated,Animal,Animal distal gut
481,Free-living,Non-saline,Water (non-saline)
482,Free-living,Non-saline,Soil (non-saline)
483,Free-living,Non-saline,Water (non-saline)
484,Host-associated,Animal,Animal distal gut
485,Free-living,Non-saline,Surface (non-saline)
486,Host-associated,Animal,Animal surface
487,Free-living,Non-saline,Water (non-saline)
488,Host-associated,Animal,Animal distal gut
489,Free-living,Non-saline,Soil (non-saline)
490,Host-associated,Animal,Animal secretion
491,Host-associated,Animal,Animal distal gut
492,Free-living,Non-saline,Surface (non-saline)
493,Free-living,Non-saline,Surface (non-saline)
494,Host-associated,Animal,Animal distal gut
495,Free-living,Saline,Sediment (saline)
496,Host-associated,Animal,Animal surface
497,Host-associated,Animal,Animal distal gut
498,Host-associated,Animal,Animal distal gut
499,Free-living,Non-saline,Sediment (non-saline)
500,Free-living,Non-saline,Surface (non-saline)
501,Free-living,Non-saline,Soil (non-saline)
502,Free-living,Non-saline,Surface (non-saline)
503,Free-living,Saline,Water (saline)
504,Host-associated,Animal,Animal surface
505,Host-associated,Animal,Animal proximal gut
506,Host-associated,Plant,Plant corpus
507,Free-living,Non-saline,Water (non-saline)
508,Host-associated,Animal,Animal surface
509,Free-living,Saline,Water (saline)
510,Host-associated,Plant,Plant surface
511,Host-associated,Animal,Animal distal gut
512,Free-living,Non-saline,Water (non-saline)
513,Host-associated,Animal,Animal distal gut
514,Free-living,Saline,Water (saline)
515,Host-associated,Animal,Animal surface
516,Free-living,Non-saline,Soil (non-saline)
517,Free-living,Non-saline,Water (non-saline)
518,Host-associated,Animal,Animal distal gut
519,Free-living,Non-saline,Soil (non-saline)
520,Host-associated,Plant,Plant surface
521,Host-associated,Plant,Plant surface
522,Free-living,Non-saline,Water (non-saline)
523,Free-living,Non-saline,Soil (non-saline)
524,Free-living,Non-saline,Soil (non-saline)
525,Host-associated,Animal,Animal distal gut
526,Free-living,Non-saline,Soil (non-saline)
527,Free-living,Non-saline,Water (non-saline)
528,Host-associated,Animal,Animal secretion
529,Host-associated,Animal,Animal distal gut
530,Free-living,Non-saline,Water (non-saline)
531,Host-associated,Animal,Animal distal gut
532,Host-associated,Animal,Animal distal gut
533,Host-associated,Animal,Animal distal gut
534,Free-living,Non-saline,Surface (non-saline)
535,Free-living,Non-saline,Water (non-saline)
536,Free-living,Non-saline,Water (non-saline)
537,Free-living,Non-saline,Water (non-saline)
538,Host-associated,Animal,Animal distal gut
539,Free-living,Non-saline,Surface (non-saline)
540,Host-associated,Animal,Animal distal gut
541,Free-living,Non-saline,Water (non-saline)
542,Host-associated,Animal,Animal proximal gut
543,Free-living,Non-saline,Soil (non-saline)
544,Free-living,Saline,Sediment (saline)
545,Free-living,Non-saline,Water (non-saline)
546,Free-living,Non-saline,Water (non-saline)
547,Host-associated,Animal,Animal distal gut
548,Free-living,Non-saline,Water (non-saline)
549,Free-living,Non-saline,Water (non-saline)
550,Free-living,Non-saline,Water (non-saline)
551,Host-associated,Animal,Animal distal gut
552,Free-living,Non-saline,Surface (non-saline)
553,Host-associated,Animal,Animal surface
554,Host-associated,Animal,Animal surface
555,Free-living,Non-saline,Soil (non-saline)
556,Host-associated,Animal,Animal surface
557,Free-living,Non-saline,Water (non-saline)
558,Free-living,Non-saline,Surface (non-saline)
559,Host-associated,Animal,Animal surface
560,Host-associated,Animal,Animal surface
561,Free-living,Non-saline,Water (non-saline)
562,Free-living,Non-saline,Water (non-saline)
563,Host-associated,Animal,Animal secretion
564,Free-living,Non-saline,Soil (non-saline)
565,Host-associated,Plant,Plant surface
566,Host-associated,Animal,Animal distal gut
567,Host-associated,Animal,Animal secretion
568,Free-living,Non-saline,Soil (non-saline)
569,Host-associated,Animal,Animal surface
570,Host-associated,Animal,Animal secretion
571,Free-living,Non-saline,Water (non-saline)
572,Host-associated,Plant,Plant surface
573,Host-associated,Animal,Animal secretion
574,Free-living,Non-saline,Soil (non-saline)
575,Host-associated,Animal,Animal surface
576,Free-living,Non-saline,Water (non-saline)
577,Host-associated,Animal,Animal surface
578,Free-living,Non-saline,Surface (non-saline)
579,Free-living,Non-saline,Water (non-saline)
580,Host-associated,Animal,Animal distal gut
581,Free-living,Non-saline,Water (non-saline)
582,Host-associated,Animal,Animal distal gut
583,Free-living,Non-saline,Soil (non-saline)
584,Free-living,Non-saline,Water (non-saline)
585,Free-living,Non-saline,Surface (non-saline)
586,Host-associated,Animal,Animal distal gut
587,Host-associated,Animal,Animal distal gut
588,Free-living,Non-saline,Water (non-saline)
589,Free-living,Saline,Sediment (saline)
590,Free-living,Non-saline,Soil (non-saline)
591,Free-living,Non-saline,Water (non-saline)
592,Free-living,Non-saline,Water (non-saline)
593,Free-living,Non-saline,Soil (non-saline)
594,Free-living,Non-saline,Soil (non-saline)
595,Host-associated,Animal,Animal surface
596,Free-living,Non-saline,Soil (non-saline)
597,Free-living,Non-saline,Soil (non-saline)
598,Free-living,Non-saline,Soil (non-saline)
599,Free-living,Non-saline,Soil (non-saline)
600,Host-associated,Plant,Plant rhizosphere
601,Host-associated,Animal,Animal secretion
602,Host-associated,Plant,Plant corpus
603,Free-living,Non-saline,Soil (non-saline)
604,Host-associated,Animal,Animal distal gut
605,Host-associated,Plant,Plant surface
606,Free-living,Non-saline,Surface (non-saline)
607,Free-living,Non-saline,Water (non-saline)
608,Host-associated,Plant,Plant rhizosphere
609,Host-associated,Animal,Animal distal gut
610,Free-living,Non-saline,Soil (non-saline)
611,Free-living,Non-saline,Water (non-saline)
612,Free-living,Saline,Surface (saline)
613,Host-associated,Plant,Plant surface
614,Host-associated,Animal,Animal distal gut
615,Free-living,Non-saline,Water (non-saline)
616,Host-associated,Animal,Animal distal gut
617,Host-associated,Plant,Plant surface
618,Free-living,Non-saline,Water (non-saline)
619,Host-associated,Animal,Animal distal gut
620,Host-associated,Animal,Animal secretion
621,Free-living,Non-saline,Water (non-saline)
622,Host-associated,Animal,Animal distal gut
623,Host-associated,Animal,Animal distal gut
624,Host-associated,Plant,Plant rhizosphere
625,Host-associated,Animal,Animal distal gut
626,Free-living,Non-saline,Soil (non-saline)
627,Host-associated,Plant,Plant rhizosphere
628,Free-living,Non-saline,Soil (non-saline)
629,Free-living,Non-saline,Surface (non-saline)
630,Host-associated,Animal,Animal distal gut
631,Host-associated,Animal,Animal surface
632,Free-living,Non-saline,Soil (non-saline)
633,Free-living,Non-saline,Sediment (non-saline)
634,Free-living,Saline,Sediment (saline)
635,Host-associated,Plant,Plant surface
636,Free-living,Non-saline,Water (non-saline)
637,Free-living,Non-saline,Sediment (non-saline)
638,Free-living,Non-saline,Water (non-saline)
639,Free-living,Non-saline,Soil (non-saline)
640,Free-living,Non-saline,Water (non-saline)
641,Free-living,Non-saline,Soil (non-saline)
642,Free-living,Non-saline,Water (non-saline)
643,Host-associated,Animal,Animal distal gut
644,Free-living,Non-saline,Surface (non-saline)
645,Free-living,Non-saline,Water (non-saline)
646,Free-living,Non-saline,Water (non-saline)
647,Host-associated,Animal,Animal distal gut
648,Free-living,Non-saline,Water (non-saline)
649,Host-associated,Animal,Animal distal gut
650,Free-living,Saline,Water (saline)
651,Host-associated,Animal,Animal surface
652,Host-associated,Plant,Plant surface
653,Host-associated,Animal,Animal secretion
654,Free-living,Non-saline,Water (non-saline)
655,Host-associated,Plant,Plant surface
656,Free-living,Non-saline,Surface (non-saline)
657,Host-associated,Plant,Plant surface
658,Host-associated,Animal,Animal secretion
659,Host-associated,Animal,Animal surface
660,Free-living,Non-saline,Soil (non-saline)
661,Free-living,Non-saline,Water (non-saline)
662,Host-associated,Animal,Animal distal gut
663,Host-associated,Animal,Animal surface
664,Host-associated,Animal,Animal surface
665,Free-living,Non-saline,Soil (non-saline)
666,Free-living,Non-saline,Surface (non-saline)
667,Host-associated,Animal,Animal distal gut
668,Free-living,Non-saline,Sediment (non-saline)
669,Host-associated,Animal,Animal surface
670,Free-living,Non-saline,Soil (non-saline)
